OBJECTID,PARK_CAT,TMK,PARK_TYPE,PARK_NAME,MAIN_DIST,LINK_ID,NAME,LEGAL_ACRES,DEDICATED,GLOBALID,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,ShapeSTArea,ShapeSTLength
353,1,85001060,Community Park,Herbert K Pililaau Community Park,3,82,Herbert K Pililaau Community Park,10.43999958,,{EEFE1D15-2B15-49C6-B612-A7BBDBA12F02},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,459638.712844849,3033.27156280161
354,1,99072044,District Park,Halawa District Park,2,229,Halawa District Park,20.17000008,,{3187FF81-322F-4F97-8181-70345FB087DF},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,874530.126441956,4396.3697229038
355,1,59001038,Beach Park,Sunset Beach Park,4,372,Sunset Beach Park,17.72999954,,{90E8B2CA-30FD-46E3-B549-278D9C4E64FA},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1924746.71328735,26867.1022353911
356,1,97017002,Community Park,Lehua Community Park,3,152,Lehua Community Park,6.67000008,,{4D59FE0A-B67C-48FF-A2B7-74D08A7935D2},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,490609.517654419,3079.25272293414
357,1,99002027,Neighborhood Park,Aliamanu Neighborhood Park,2,130,Aliamanu Neighborhood Park,4.59000015,,{3D07129D-D950-438F-B223-F5CE2C88D182},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,193205.848320007,2791.28662595133
358,1,87016001,Beach Park,Maili Beach Park,3,194,Maili Beach Park,39.56000137,,{B3AD9CAC-D84E-482B-85C8-63F1235ABBF3},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1399272.29351807,10345.1350326755
359,1,66002001,Beach Park,Haleiwa Alii Beach Park,4,164,Haleiwa Alii Beach Park,19.25,,{EC2228BE-5439-45FE-85F2-E5C525F2B77A},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,841632.480667114,5138.39807590598
360,1,94010029,Regional Park,Waipahu Cultural Garden Park,3,241,Waipahu Cultural Garden Park,48.88000107,,{78655EB8-E2E6-41C1-8AA2-EFEE0EF75022},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1945046.06007385,13587.0867344998
361,1,55001002,Beach Park,Kokololio Beach Park,4,338,Kokololio Beach Park,15.51000023,,{6DD240A4-731D-4275-96E6-D5EE84F67359},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,611158.283752441,4123.67164062826
362,1,,Beach ROW,Crozier Drive Brow Parking,4,403,Crozier Drive Brow Parking,0.23999999,,{97825E2F-1323-4338-8D36-7DE609FB9FB4},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,10619.6251525879,644.476404602438
363,1,68004003,Beach ROW,Crozier Drive,4,353,Crozier Drive,0.09,,{FD0F9AFC-1626-4A6B-9605-74D2C1F868F3},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,4100.53210449219,703.799097950204
364,1,91017014,Beach Park,Kapapapuhi Point Park,3,316,Kapapapuhi Point Park,6.36000013,,{43775477-199C-404F-85C2-D0F06B10A39D},mpc,2013-07-08T12:31:04.000Z,gmasaki,2017-11-22T13:48:11.000Z,1769276.36083221,16574.3416895186
365,1,11009006,Community Park,Moanalua Community Park,2,133,Moanalua Community Park,7.59000015,,{DF94AB33-938C-4F5C-9777-3042F2B823FA},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,621140.307929993,5052.09655052881
366,1,37003010,Neighborhood Park,Niu Valley Neighborhood Park,1,274,Niu Valley Neighborhood Park,2.05999994,,{8ADA085E-5EE0-4465-904B-E438FAA7DAD8},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,89860.2023773193,1242.60607421018
367,1,94007052,Community Park,Waikele Community Park,3,385,Waikele Community Park,12.84000015,,{C8AE03BD-58A6-4CC2-95A0-7D7B2F5C12EE},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,558683.246078491,3323.14721297572
368,1,94005074,Regional Park,Patsy T. Mink Central Oahu Regional Park,5,141,Patsy T. Mink Central Oahu Regional Park,267.354,,{C68D0F1D-DE80-4D96-8687-E580839BE706},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,11514210.3805695,20527.7113715692
369,1,23012021,Community Park,Sheridan Community Park,2,278,Sheridan Community Park,1.73000002,,{16ACC017-9E4A-416B-9A7F-8275C9CC706D},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,75080.0547943115,1103.7117420883
370,1,98052002,District Park,Waiau District Park,3,297,Waiau District Park,31.43000031,,{DDA7CE10-EE87-46EB-AB87-95EC39CEF932},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,1365333.20225525,4982.9157495569
371,3, ,Regional Park,Kalaeloa Regional Park (future),3,128,Kalaeloa Regional Park (future),484,N,{BB26BC1F-F1E4-4AED-B6CE-9D1F80C0C4A3},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,12179108.4906769,41094.6324683499
372,1,97022011,Neighborhood Park,Pacheco Neighborhood Park,3,28,Pacheco Neighborhood Park,4.59000015,,{FCA4067B-63E3-497B-BE53-E32820970D9F},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,200623.290184021,1803.86533416205
373,3,91010,Neighborhood Park,Keaunui NP (future),3,9101,Keaunui NP (future),5.9000001,,{C9EB51A8-469A-4A64-869E-4F8EA237AF67},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,256490.547149658,2041.68926800853
374,1,49004001,Regional Park,Kualoa Regional Park,4,242,Kualoa Regional Park,153.41000366,,{16DE0504-562F-4CDC-803D-8E4107BBC243},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,6942982.7587738,15114.0342888563
375,1,34028047,Land Slippage Area,Waiomao Slide Area,1,272,Waiomao Slide Area,2.42000008,,{CAE1CE77-E5E0-469F-A48A-15A1B21379B7},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,106675.386795044,2336.71473804357
376,1,11063014,Community Garden,Ala Puumalu Community Park,2,466,Ala Puumalu Community Park,62.38,,{CF10C523-F98E-4D9C-AAD3-9C2448ADF495},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,2767993.60897827,11380.0682196725
377,1,11063018,District Park,Salt Lake District Park,2,321,Salt Lake District Park,84.298,,{E6C1303F-3C55-404D-B5F8-F009970EC9EA},mpc,2013-07-08T12:31:04.000Z,mpc,2013-07-08T12:31:04.000Z,3684771.39337158,13904.0898912272
