objectid,unit_name,gis_acres,mammal_uni,bird_unit,status,descriptio,game_desig,note_,note_cont,island,linkto_isl,linktoadmi,linktoad_1,linktoad_2,st_areashape,st_lengthshape
19,Unit A,2803.69555406,A,No Hunting,Hunting Area (Mammal ONLY),Portions of Mokuleia F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Titlge 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Oahu,http://dlnr.hawaii.gov/recreation/hunting/oahu/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,11346153.3593979,0
20,Unit E1,5787.07040816,E1,E1,Hunting Area (Mammal and Bird),Portions of Na Pali-Kona F.R. & Hono O Na Pali NAR,Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,23419443.0481363,0
21,Unit C,8094.6640664,C,No Hunting,Hunting Area (Mammal ONLY),Portions of Moloaa F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,32757943.2642979,0
25,Safety Zone,23.85217474,Safety Zone,Safety Zone,Safety Zone,Safety Zone 200 yards (180m) from Camp Ground,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,96526.3265440791,0
26,Unit C,14995.950152,C,No Hunting,Hunting Area (Mammal ONLY),Portions of Halelea F.R.,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,60686457.1825973,0
33,Unit K,83.76188429,K,No Hunting,Hunting Area (Mammal ONLY),Kalalau Rim Sec. btwn Kalalau Lookout & Pihea SZ,Mammal,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, ,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,338972.319373976,0
27,Safety Zone,25.07219296,Safety Zone,Safety Zone,Safety Zone,Safety Zone 200 yards (180m) from Camp Ground,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,101463.565089904,0
28,Safety Zone,62.72344904,Safety Zone,Safety Zone,Safety Zone,Safety Zone 200 yard (180m) wide Kalalau Beach,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,253832.792597689,0
29,Unit H,9050.58917709,H,H,Hunting Area (Mammal and Bird),"Puu Ka Pele FR, Na Pali Kona FR & Kuia NAR",Mammal and Bird,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/BirdHuntingRegs_Chap122-02.pdf,http://dlnr.hawaii.gov/huntered/files/2013/05/MammalHuntingRegs_Chap123.pdf,36626434.9377977,0
34,Safety Zone,199.58271177,Safety Zone,Safety Zone,Safety Zone,Safety Zone,Safety Zone,"This is not an official copy of Chapters 122 & 123, Rules Regulating Game Bird and Game Mammal Hunting. The format has been changed to make it more usable by the public.",An official copy of Title 13 Chapters 122 & 123 should be consulted to make legal interpretations.,Kauai,http://dlnr.hawaii.gov/recreation/hunting/kauai/,http://files.hawaii.gov/dlnr/dofaw/rules/Chap121a.pdf, , ,807682.578916216,0
