X,Y,objectid,name,own,tmk,type
-158.025276623986514,21.306617444784671,703,Oneula Beach Park,Other,91011006,beach
-158.024419777831667,21.306619208363866,704,Oneula Beach Park,Other,91011005,beach
-158.026866655911078,21.306543162246651,705,Oneula Beach Park,Other,91011007,beach
-158.024049159856446,21.306626074361954,706,Oneula Beach Park,Other,91011004,beach
-158.023545635831454,21.306593762345855,707,Oneula Beach Park,Other,91011003,beach
-158.023130097447932,21.306559706530589,708,Oneula Beach Park,Other,91011002,beach
-158.060362380278093,21.304995986981307,709,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-158.02189798773216,21.306177552550068,710,Pupu Place,City,91030017,road
-158.055504365167735,21.303326333297729,711,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-157.709717759549193,21.302949270640063,712,Hahaione Valley Neighborhood Park,City,39049028,neighborhood
-157.836296855937064,21.303541265171592,713,Makiki District Park,City,24022001,district
-157.841864105326721,21.303769433167691,714,Piikoi Street Mini Park,City,24020056,mini
-157.81889697265558,21.302938847305736,715,Kamanele Square,City,29003006,sq/ente/tri/prom
-157.84904514665007,21.302797946731406,716,Thomas Square,State,24001001,sq/ente/tri/prom
-157.785638939671713,21.302534901239614,717,Waiomao Slide Area,City,34028047,slide area/slope
-157.785782168942575,21.302481732806068,718,Waiomao Slide Area,City,34028046,slide area/slope
-157.833036260740641,21.302676244541459,719,Punahou Square,State,24008001,sq/ente/tri/prom
-157.785938104452725,21.302421881458315,720,Waiomao Slide Area,City,34028045,slide area/slope
-157.786081333518013,21.302368712759002,721,Waiomao Slide Area,City,34028044,slide area/slope
-157.837714213333783,21.302744797989028,722,Makiki District Park,City,24022045,district
-157.786231208083819,21.302313333412943,723,Waiomao Slide Area,City,34028043,slide area/slope
-157.785674776326715,21.302279957093333,724,Waiomao Slide Area,City,34028049,slide area/slope
-157.786364194186007,21.302260090578507,725,Waiomao Slide Area,City,34028042,slide area/slope
-157.837810168598565,21.302648347615918,726,Makiki District Park,City,24022034,district
-157.786515857378504,21.30220698232575,727,Waiomao Slide Area,City,34028041,slide area/slope
-157.78582428968312,21.302195216484371,728,Waiomao Slide Area,City,34028050,slide area/slope
-157.837516197614491,21.302565009652128,729,Makiki District Park,City,24022026,district
-157.786660893417974,21.302153827049025,730,Waiomao Slide Area,City,34028040,slide area/slope
-157.785970038745489,21.30212851531962,731,Waiomao Slide Area,City,34028051,slide area/slope
-157.786121757573824,21.302068632455384,732,Waiomao Slide Area,City,34028052,slide area/slope
-157.786271687452626,21.302006478992695,733,Waiomao Slide Area,City,34028053,slide area/slope
-157.785483886064014,21.301901420960139,734,Waiomao Slide Area,City,34030001,slide area/slope
-157.785945102702925,21.301717300961705,735,Waiomao Slide Area,City,34030004,slide area/slope
-157.786101677859818,21.301652936221174,736,Waiomao Slide Area,City,34030005,slide area/slope
-157.785457743068037,21.301636995674951,737,Waiomao Slide Area,City,34030028,slide area/slope
-157.873421046996981,21.30050149704234,738,Sand Island State Recreation Area,State,,recreation area
-157.785622113136526,21.301577204557571,739,Waiomao Slide Area,City,34030027,slide area/slope
-157.785767844057091,21.301512762770699,740,Waiomao Slide Area,City,34030026,slide area/slope
-157.838291489727936,21.3012039942945,741,Cartwright Neighborhood Park,State,24010015,neighborhood
-157.78591647485888,21.301461891606596,742,Waiomao Slide Area,City,34030025,slide area/slope
-157.672154302831331,21.299524063054236,743,Kalama Valley Community Park,City,39092039,community
-157.795701583838991,21.300500127952564,744,Palolo Valley District Park,City,34006003,district
-157.795850176164834,21.299419397694521,745,Palolo Valley District Park,City,34007010,district
-157.795020234537049,21.299901278672277,746,Palolo Valley District Park,City,34007003,district
-157.856049466515287,21.300402147182048,747,Kawaiahao Mini Park,Other,21049027,mini
-158.061036669387818,21.300499917335063,748,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-157.858178635790722,21.299617143439733,749,Mother Waldron Neighborhood Park,State,21051006,neighborhood
-157.796703009803537,21.298863146770625,750,Palolo Valley District Park,State,34007013,district
-158.076774154300608,21.298648964349074,751,Kalaeloa Regional Park (Barbers Poin,Federal,91013001,regional/cultural
-157.858817383513099,21.299131399542333,752,Mother Waldron Neighborhood Park,City,21051005,neighborhood
-157.827017557176617,21.299063688299665,753,Wilder Avenue Mini Park,City,28013088,mini
-157.755239851692409,21.298297055786804,754,Aina Haina Slide Area,City,36021014,slide area/slope
-157.75486218017636,21.298145201500024,755,Aina Haina Slide Area,City,36021031,slide area/slope
-157.755687552284201,21.298074530882211,756,Aina Haina Slide Area,City,36021012,slide area/slope
-157.754804854750347,21.297941519813172,757,Aina Haina Slide Area,City,36021030,slide area/slope
-157.75511349448027,21.297848954144317,758,Aina Haina Slide Area,City,36021016,slide area/slope
-157.687691578380964,21.29624517073335,759,Kamilo Iki Community Park,Other,39014102,community
-157.844430163811921,21.298079944431777,760,Sheridan Community Park,City,23012021,community
-157.754746908973004,21.297740091956001,761,Aina Haina Slide Area,City,36021029,slide area/slope
-157.7555801795815,21.297732715569737,762,Aina Haina Slide Area,City,36021010,slide area/slope
-157.755044121101037,21.297645183404558,763,Aina Haina Slide Area,City,36021017,slide area/slope
-157.754693667677799,21.297552249515384,764,Aina Haina Slide Area,City,36021028,slide area/slope
-157.754998558904305,21.297475464445736,765,Aina Haina Slide Area,City,36021018,slide area/slope
-157.708964914612693,21.296163823170993,766,Hahaione Neighborhood Park,City,39038001,neighborhood
-157.754959985911853,21.297262888672041,767,Aina Haina Slide Area,City,36021019,slide area/slope
-157.754601651199721,21.297104401638073,768,Aina Haina Slide Area,City,36021026,slide area/slope
-157.754894943162896,21.297045599288115,769,Aina Haina Slide Area,City,36021020,slide area/slope
-157.686099661288154,21.295327108822697,770,Kamilo Iki Community Park,Other,39014009,community
-157.805981661524498,21.296264261709045,771,Kalaepohaku Neighborhood Park,City,33052010,neighborhood
-157.724731899357579,21.295473394733822,772,Kuliouou Neighborhood Park,State,38016081,neighborhood
-157.723708837391143,21.295348192347696,773,Kuliouou Neighborhood Park,State,38016083,neighborhood
-157.790157173439894,21.295977336322178,774,Maunalani Community Park,State,33029008,community
-157.789836845206025,21.296101506288647,775,Maunalani Community Park,City,33029001,community
-157.790467211698342,21.295785337969278,776,Maunalani Community Park,City,33029002,community
-157.837633163124252,21.296201446846982,777,Makua Alii Senior Citizen's Center,State,23019004,12
-158.104142939226563,21.296968901446125,778,Barbers Point Beach Park,City,91026027,beach
-158.106089977239918,21.29701298092634,779,Barbers Point Beach Park,Federal,91026002,beach
-157.86434121142824,21.294134722354439,780,Kakaako Waterfront Park,State,,
-157.687299251276158,21.282599207286786,781,Koko Head Regional Park,City,39012001,regional/cultural
-158.105124641096893,21.2965335799333,782,Barbers Point Beach Park,Other,91026004,beach
-157.66074683118299,21.292820933639472,783,Sandy Beach Park,Other,,beach
-158.106100113526168,21.296330876313785,784,doughnut,doughnut,91026002,null
-157.664022895524283,21.292156004525673,785,Ka Iwi (Hawaii Kai) Support Park,Other,39010042,regional/cultural
-157.754178642958379,21.293611985720716,786,Wailupe Valley Neighborhood Park,City,36019011,neighborhood
-157.824636308394901,21.293868399488282,787,Moiliili Neighborhood Park,City,28005003,neighborhood
-157.680494353206257,21.289068118450526,788,Koko Head Regional Park,City,39012001,botantical garden
-157.812053173514812,21.292989562043072,789,Kanewai Community Park,City,28029011,community
-157.826739682646433,21.292487378994288,790,Old Stadium Park,State,27008002,sq/ente/tri/prom
-157.831618769620405,21.293284728102243,791,McCully District Park,City,23029002,district
-157.66684612368303,21.28884966202418,792,Koko Head Regional Park,City,39010003,regional/cultural
-157.857482864055726,21.291346421504702,793,Kewalo Basin Park,State,,
-157.851532695195402,21.291107102473454,794,Ala Moana Regional Park,City,23037001,regional/cultural
-157.668469884442288,21.289431659438954,795,Ka Iwi (Hawaii Kai) Support Park,Other,39010041,regional/cultural
-157.667308593690848,21.288200673772895,796,Sandy Beach Park,City,39012002,beach
-157.812513010837421,21.292145888586045,797,Kanewai Community Park,City,28029004,community
-157.664259820466839,21.290597375285955,798,Sandy Beach Park,State,39010002,beach
-157.825899953887358,21.291187424344045,799,Isenberg Street Community Garden,Other,27009,community garden
-157.825641548663754,21.291181101325545,800,Isenberg Street Community Garden,City,27009049,community garden
-157.853302157691473,21.291168876082565,801,Ala Moana Regional Park,City,23037023,regional/cultural
-157.667474422516648,21.288786902900998,802,Sandy Beach Park,City,39015020,beach
-157.757429967513161,21.289466983089635,803,Aina Haina Slide Area,City,36017063,slide area/slope
-157.667781951200112,21.288687718583315,804,Sandy Beach Park,State,39015019,beach
-157.831934292024584,21.289957967579547,805,Frank C. Judd Mini Park,City,27003048,mini
-157.669508808568395,21.287513529134472,806,Sandy Beach Park,City,39015001,beach
-157.8319972766364,21.289764179215233,807,Frank C. Judd Mini Park,State,27003007,mini
-157.757445246890057,21.289297712772779,808,Aina Haina Slide Area,City,36017062,slide area/slope
-157.803033398074035,21.289108851933772,809,Pukele Avenue Mini Park,City,33044023,mini
-157.823011072591555,21.289236244956808,810,Kaaha Street Mini Park,Other,27016,mini
-157.833463044315778,21.289078756775492,811,Ala Wai Promenade,State,23034033,sq/ente/tri/prom
-157.834593459049756,21.289204039662071,812,Ala Wai Promenade,State,23034033,sq/ente/tri/prom
-157.790217045253115,21.288228996882104,813,Mauumae Nature Park,City,33018056,nature pres/marsh
-157.831819781459416,21.288669856243917,814,Ala Wai Community Park,State,27036005,community
-157.836235455457341,21.288858581974782,815,Ala Wai Promenade,State,23035011,sq/ente/tri/prom
-157.789165736026376,21.286986059855035,816,Mauumae Nature Park,City,33019005,nature pres/marsh
-157.829716228769968,21.287049463708851,817,Ala Wai Community Park,State,27036001,community
-157.830233966150473,21.28853912754014,818,Ala Wai Community Park,State,27004005,community
-157.83875584254946,21.288356571926307,819,Ala Wai Promenade,State,23036036,sq/ente/tri/prom
-157.823783045884085,21.288074032793208,820,Date Street Mini Park,City,27015018,mini
-157.845539060289781,21.287323763646853,821,Ala Moana Regional Park,State,23037019,regional/cultural
-157.693662170437818,21.273188326535724,822,Koko Head Regional Park,City,39012002,regional/cultural
-157.844555975248426,21.288003578048865,823,Ala Moana Regional Park,City,23037022,regional/cultural
-157.791001353705411,21.286692105363073,824,Mauumae Nature Park,City,33017001,nature pres/marsh
-157.814763535346287,21.286176860938944,825,Crane Community Park,City,27031008,community
-157.828122527350359,21.285714908111053,826,Ala Wai Neighborhood Park,State,27036001,neighborhood
-157.788596983247402,21.286184730861361,827,Mauumae Nature Park,Other,33019002,nature pres/marsh
-157.790642422411565,21.285573847908829,828,Mauumae Nature Park,City,33014015,nature pres/marsh
-157.846347920043883,21.285036983749936,829,Ala Moana Regional Park,City,23037025,regional/cultural
-157.790196407359019,21.285453201971265,830,Mauumae Nature Park,City,33014016,nature pres/marsh
-157.789796895568543,21.285098010828484,831,Mauumae Nature Park,City,33014017,nature pres/marsh
-157.717097688915857,21.283886085726273,832,Maunalua Bay Beach Park,City,39007008,beach
-157.720613665402311,21.284393909891421,833,Kuliouou Beach Park,State,38003032,beach
-157.718294064492596,21.284369474111859,834,Maunalua Bay Beach Park,State,39007032,beach
-157.741312149693357,21.28429492823177,835,Niu Valley Neighborhood Park,City,37003010,neighborhood
-157.821075739718793,21.284599648789104,836,Ala Wai Neighborhood Park,State,27021038,neighborhood
-157.820512370781103,21.282804750132726,837,Ala Wai Golf Course,State,27036002,golf course
-157.714923376791774,21.28246249318142,838,Maunalua Bay Beach Park,State,39007011,beach
-157.822620671613294,21.283503831613881,839,Ala Wai Neighborhood Park,State,27020011,neighborhood
-157.766670036298223,21.283123320404041,840,Laukahi Slopes,City,35065005,slide area/slope
-157.831668536063404,21.283955418920229,841,King Kalakaua Park,City,26016035,sq/ente/tri/prom
-157.831528827498317,21.283796356253443,842,King Kalakaua Park,City,26016036,sq/ente/tri/prom
-157.831478017504764,21.283746316930987,843,King Kalakaua Park,City,26016034,sq/ente/tri/prom
-157.800805524707897,21.28310806803519,844,Kaimuki Community Park,City,32005009,community
-157.831406355727239,21.283666772542578,845,King Kalakaua Park,City,26016033,sq/ente/tri/prom
-157.831322205322124,21.283566815962288,846,King Kalakaua Park,City,26016032,sq/ente/tri/prom
-157.713060065827875,21.281508746529688,847,Maunalua Bay Beach Park,State,39007011,beach
-157.84768473929114,21.282636379113359,848,Ala Moana Regional Park,Other,,regional/cultural
-157.836220131042637,21.281936319852065,849,Paoa Place,Other,26008,road
-157.847379663858874,21.282361014820992,850,Ala Moana Regional Park,Other,,regional/cultural
-157.749261812665765,21.281321188534719,851,Nehu Neighborhood Park,City,36006045,neighborhood
-157.728104909643321,21.281392831680872,852,Paiko Drive,Other,38001022,road
-157.691818073501736,21.279154238401016,853,Koko Head Regional Park,City,39012010,regional/cultural
-157.846973379406563,21.282084955266726,854,Ala Moana Regional Park,Other,,regional/cultural
