X,Y,objectid,feature_id,elev_in_m,elev_in_ft,map_name,feature_name,feature_class,state_alpha,state_numeric,county_name,county_numeric,primary_lat_dms,prim_long_dms,prim_lat_dec,prim_long_dec,source_lat_dms,source_long_dms,source_lat_dec,source_long_dec,date_created,date_edited
-159.653617232401757,22.057322060819512,3207,361531,495,1624,Waimea Canyon,Kukui Trail,Trail,HI,15,Kauai,7,220326N,1593913W,22.0572222,-159.6536111,,,,,2003-09-30T00:00:00.000Z,
-155.277709809398459,20.013311719983967,3208,361532,131,430,Kukaiau,Kukui Village,Populated Place,HI,15,Hawaii,1,200048N,1551640W,20.0132429,-155.2777867,,,,,1981-02-06T00:00:00.000Z,2012-10-03T00:00:00.000Z
-155.441222379813325,20.092107532923848,3209,361533,11,36,Honokaa,Kukuiaonanipahu Gulch,Valley,HI,15,Hawaii,1,200532N,1552628W,20.0920993,-155.4412134,200402N,1552732W,20.067198,-155.458851,1981-02-06T00:00:00.000Z,2016-10-24T00:00:00.000Z
-155.815173034275233,19.081910661135282,3210,361534,448,1470,Pohue Bay,Kukuihae,Area,HI,15,Hawaii,1,190455N,1554855W,19.081823,-155.815164,,,,,1981-02-06T00:00:00.000Z,2012-09-21T00:00:00.000Z
-155.58410474046741,20.105901620292485,3211,361535,431,1414,Kukuihaele OE N,Kukuihaele,Civil,HI,15,Hawaii,1,200621N,1553503W,20.1058333,-155.5841667,,,,,1981-02-06T00:00:00.000Z,
-155.569517597591698,20.118291670704824,3212,361536,224,735,Kukuihaele,Kukuihaele,Populated Place,HI,15,Hawaii,1,200706N,1553410W,20.1182304,-155.5695313,,,,,1981-02-06T00:00:00.000Z,2012-10-03T00:00:00.000Z
-154.912102553176567,19.414502093268567,3213,361537,52,171,Pahoa South,Kukuihala,Civil,HI,15,Hawaii,1,192452N,1545444W,19.4144444,-154.9122222,,,,,1981-02-06T00:00:00.000Z,
-157.913083566103978,21.650099006679639,3214,361538,0,0,Kahuku,Kukuihoʻolua,Island,HI,15,Honolulu,3,213900N,1575447W,21.6500092,-157.9131031,,,,,2003-09-30T00:00:00.000Z,2012-11-02T00:00:00.000Z
-155.103023703208663,19.829720112138283,3215,361539,142,466,Papaikou,Kukuikea,Civil,HI,15,Hawaii,1,194947N,1550611W,19.8297222,-155.1030556,,,,,1981-02-06T00:00:00.000Z,
-155.398009591381708,20.070135080710532,3216,361540,2,7,Honokaa,Kukuilamalamaheʻe Gulch,Valley,HI,15,Hawaii,1,200413N,1552353W,20.0701475,-155.3980456,200058N,1552523W,20.016235,-155.423009,1981-02-06T00:00:00.000Z,2018-12-13T00:00:00.000Z
-156.825514102287201,21.146495905119107,3217,361541,674,2211,Kamalo,Kukuinui Ridge,Ridge,HI,15,Maui,9,210847N,1564932W,21.1464038,-156.8255737,,,,,2003-09-30T00:00:00.000Z,2018-09-11T00:00:00.000Z
-157.00990025543328,21.102733699897652,3218,361542,112,367,Kaunakakai,Kukuiokahoʻāliʻi,Summit,HI,15,Maui,9,210610N,1570036W,21.1027347,-157.0099567,,,,,2003-09-30T00:00:00.000Z,2018-12-13T00:00:00.000Z
-157.054029458979272,21.184520244914978,3219,361543,207,679,Kaunakakai,Kukuiokanaloa,Cliff,HI,15,Maui,9,211104N,1570315W,21.1844318,-157.0540452,,,,,2003-09-30T00:00:00.000Z,2012-08-12T00:00:00.000Z
-159.530570061286511,21.918891133074773,3220,361544,252,827,Koloa,Kukuiolono Park,Park,HI,15,Kauai,7,215508N,1593150W,21.9188889,-159.5305556,,,,,1981-02-06T00:00:00.000Z,
-155.832205244399717,19.301880005040527,3221,361545,1170,3839,Puupohakuloa,Kukuiopaʻe,Civil,HI,15,Hawaii,1,191807N,1554956W,19.3019444,-155.8322222,,,,,2003-09-30T00:00:00.000Z,
