X,Y,objectid,map_id,name,latitude,longitude,parcel_own,parcel_ope,access_typ,access_sur,dedicated_,shore_type,restroom,showers,picnic_fac,trash_rece,water,phone,lifeguard,alt_name,sign_word
-157.839902268689997,21.459413255250556,82,82,Kahalu'u Regional Park,21.459417,-157.839917,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Gravel and Grass,50,Rock,No,No,Yes,Yes,No,No,No,Kahaluu Regional Park,No Dumping
-157.847318929407493,21.484513256654605,83,83,Waiahole Beach Park,21.484517,-157.847333,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,20,"Sand, Rock",No,No,No,Yes,No,No,No,Waiahole Beach Park,No Dumping
-157.837602269565338,21.516929918975013,84,84,Kualoa Regional Park,21.516933,-157.837617,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,100,"Sand, Rock",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Kualoa Regional Park,Kualoa Regional Park
-157.846002269762721,21.545163260687946,85,85,Kalae’o’io Beach Park,21.545167,-157.846017,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,No,No,No,No,Kalae’o’io Beach Park,Kalae’O’Io Beach Park
-157.846685600450797,21.549329920968145,86,86,Ka'a'awa Beach Park,21.549333,-157.8467,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,3,Sand,Yes,Yes,Yes,Yes,Yes,Yes,No,Ka'a'awa Beach Park,No Camping
-157.85301893020636,21.556196590562294,87,87,Swanzy Beach Park,21.5562,-157.853033,City & County of Honolulu,City & County of Honolulu,Horizontal at low tide only,Grass,45,Sand,Yes,Yes,Yes,Yes,Yes,Yes,No,Swanzy Beach Park,Swanzy Beach Park
-157.857885600853137,21.557979921041202,88,88,Makaua Beach Park,21.557983,-157.8579,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,"Sand, Rock",No,No,No,No,No,No,No,Makaua Beach Park,N/A
-157.87606893170539,21.558496590487351,89,89,Ahupua'a 'O Kahana,21.5585,-157.876083,State of Hawaii,State of Hawaii,Vertical and Horizontal,Grass,100,"Sand, Rock, Cliff",Yes,Yes,Yes,Yes,Yes,Yes,No,Ahupua'a 'O Kahana,Ahupua'A 'O Kahana State Park
-157.883868932357814,21.578146591951132,90,90,Punalu'u Beach Park,21.57815,-157.883883,State of Hawaii,City & County of Honolulu,Vertical and Horizontal,Grass,0,Rock,Yes,Yes,Yes,Yes,Yes,Yes,No,Punalu'u Beach Park,Punalu'U Beach Park
-157.895310602997483,21.594635483166019,91,91,Kaluanui Kam Hwy B,21.594639,-157.895325,City & County of Honolulu,City & County of Honolulu,Vertical and Horizontal,Grass,0,Sand,No,No,No,Yes,Yes,No,No,Kaluanui Beach,"28B; Kaluanui Beach"
