objectid,name,own,tmk,type,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_lengthshape
369,Maili Beach Park,City,87015006,beach, , ,1899-12-30T00:00:00.000Z,{ECAF3F3D-8651-46D0-9624-9F43A7B94D84},,,,2016-09-13T00:00:00.000Z,,,,3813.13413313073,0
187,Mokuleia Beach Park,Other,68002012,beach, , ,1899-12-30T00:00:00.000Z,{8DA5B975-7D9E-490D-A3E6-1D3818961696},,,,2016-09-13T00:00:00.000Z,,,,46284.6159774504,0
188,Waialua Beach Road,City,67014042,road, , ,1899-12-30T00:00:00.000Z,{C031CABB-519C-4B5E-BA5A-9FFEFA3AF077},,,,2016-09-13T00:00:00.000Z,,,,323.610156206718,0
189,Mokuleia Beach Park,City,68002001,beach, , ,1899-12-30T00:00:00.000Z,{CD2D8657-B80A-4727-AAE4-3B46D919FF8C},,,,2016-09-13T00:00:00.000Z,,,,27701.8093483463,0
190,Crozier Drive,Other,68004003,road, , ,1899-12-30T00:00:00.000Z,{1CA61AD4-4141-4534-A324-FC8B4FCD9D28},,,,2016-09-13T00:00:00.000Z,,,,381.808139033007,0
191,Hoomana Place,City,68010012,road, , ,1899-12-30T00:00:00.000Z,{0B913A81-5B05-45A2-88C6-3F90E07D1BCC},,,,2016-09-13T00:00:00.000Z,,,,128.462794785974,0
192,Makaleha Beach Park,Other,68003039,beach, , ,1899-12-30T00:00:00.000Z,{82FFD6D5-F229-43E4-8F60-4757F6C18CEC},,,,2016-09-13T00:00:00.000Z,,,,56984.0483330178,0
193,Crozier Drive Brow Parking,Other,68013066,road, , ,1899-12-30T00:00:00.000Z,{8D7B5D29-11EF-41C9-BE79-658A1C71D0AA},,,,2016-09-13T00:00:00.000Z,,,,990.798513972023,0
370,Maili Beach Park,City,87015005,beach, , ,1899-12-30T00:00:00.000Z,{BA992F4A-49F9-4203-85EF-5436B60EBD70},,,,2016-09-13T00:00:00.000Z,,,,3989.51249902207,0
194,Punaluu Beach Park,State,53002031,beach, , ,1899-12-30T00:00:00.000Z,{8A1F026F-1CC0-4261-B9A6-E024F0BF2E41},,,,2016-09-13T00:00:00.000Z,,,,11294.3490695493,0
195,Makaleha Beach Park,Other,68003017,beach, , ,1899-12-30T00:00:00.000Z,{A228578C-F3D1-4D09-84DF-693D033C7014},,,,2016-09-13T00:00:00.000Z,,,,54861.3832958748,0
196,Punaluu Beach Park,Other,53002028,beach, , ,1899-12-30T00:00:00.000Z,{055A61DF-086A-41AD-BCE8-9635C6F69BC7},,,,2016-09-13T00:00:00.000Z,,,,504.929522481055,0
197,Waialua District Park,City,67001047,district, , ,1899-12-30T00:00:00.000Z,{12368569-6489-4C0D-9D27-EC198ED3FD18},,,,2016-09-13T00:00:00.000Z,,,,4158.01109453659,0
198,Waialua District Park,City,67001044,district, , ,1899-12-30T00:00:00.000Z,{08D948B0-8400-418D-B0F9-5C99924DBBA5},,,,2016-09-13T00:00:00.000Z,,,,36569.389043693,0
199,Kaena Point State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{FF0576DF-E927-48D2-9AFF-F96BDFE05547},,,,2016-09-13T00:00:00.000Z,,,,4490879.87349431,0
200,Kahana Valley State Park,State,,State, , ,1899-12-30T00:00:00.000Z,{7ED5D5C0-0AA6-48D7-BA60-FFB7489CF31C},,,,2016-09-13T00:00:00.000Z,,,,21556187.2881639,0
371,Maili Beach Park,City,87015004,beach, , ,1899-12-30T00:00:00.000Z,{30D71101-C440-4A69-90DF-456AF4218F80},,,,2016-09-13T00:00:00.000Z,,,,3773.17454900002,0
201,Kamananui Neighborhood Park,City,67006019,neighborhood, , ,1899-12-30T00:00:00.000Z,{F853DF40-12C4-472C-B073-CE1F3988DF5E},,,,2016-09-13T00:00:00.000Z,,,,2638.38973989337,0
202,Swanzy Beach Park,City,51012011,beach, , ,1899-12-30T00:00:00.000Z,{AD29C033-58A9-4E0F-B704-EAAFA60A5F98},,,,2016-09-13T00:00:00.000Z,,,,18620.0219446904,0
203,Makaua Beach Park,City,51003003,beach, , ,1899-12-30T00:00:00.000Z,{1B0C4299-222F-4497-8F81-F87A30279915},,,,2016-09-13T00:00:00.000Z,,,,561.154824862754,0
