objectid,ahupuaa,moku,mokupuni,other,gisacres,createdby,agency,publishdat,createdate,modifiedda,modifiedby,deliveryda,sourceid,severity,comments,st_areashape,st_lengthshape
78,Moakea,Kona,Molokaʻi, ,1075.762, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4353536.38641728,0
70,Nāʻiwa,Kona,Molokaʻi, ,6075.987, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,24588463.7605914,0
79,Pōhakupili,Kona,Molokaʻi, ,315.6416, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1277379.17761079,0
71,Waikolu,Koʻolau,Molokaʻi, ,3316.681, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,13422061.7200402,0
72,Pelekunu,Koʻolau,Molokaʻi, ,4812.671, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,19476101.0475129,0
73,Wailau,Koʻolau,Molokaʻi, ,8267.889, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,33458836.7970817,0
513,Kamano,Kohala,Hawaiʻi, ,420.1799, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,1700469.10080136,0
74,Keōpukaloa,Kona,Molokaʻi, ,1883.490, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,7622313.90655848,0
75,Wawaeolepe,Koʻolau,Molokaʻi, ,135.8786, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,549878.885045473,0
85,Kainalu,Kona,Molokaʻi, ,1192.902, , ,1899-12-30T00:00:00.000Z,,, ,2016-09-13T00:00:00.000Z, ,0, ,4827494.71848567,0
